WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((672709 6793265,672709 6799885,679329 6799885,679329 6793265,672709 6793265)))",171,94_style1,672709.000000000000000,6793265.000000000000000,679329.000000000000000,6799885.000000000000000
"MULTIPOLYGON (((765389 6839605,765389 6846225,772009 6846225,772009 6839605,765389 6839605)))",472,94_style1,765389.000000000000000,6839605.000000000931323,772009.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((685949 6832985,685949 6839605,692569 6839605,692569 6832985,685949 6832985)))",219,94_style1,685949.000000000000000,6832985.000000000000000,692569.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((798489 6866085,798489 6872705,805109 6872705,805109 6866085,798489 6866085)))",581,94_style1,798489.000000000000000,6866085.000000000000000,805109.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((699189 6839605,699189 6846225,705809 6846225,705809 6839605,699189 6839605)))",262,94_style1,699189.000000000000000,6839605.000000000931323,705809.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((672709 6866085,672709 6872705,679329 6872705,679329 6866085,672709 6866085)))",182,94_style1,672709.000000000000000,6866085.000000000000000,679329.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((659469 6832985,659469 6839605,666089 6839605,666089 6832985,659469 6832985)))",135,94_style1,659469.000000000000000,6832985.000000000000000,666089.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((646229 6846225,646229 6852845,652849 6852845,652849 6846225,646229 6846225)))",95,94_style1,646229.000000000000000,6846225.000000000000000,652849.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((652849 6859465,652849 6866085,659469 6866085,659469 6859465,652849 6859465)))",118,94_style1,652849.000000000000000,6859465.000000000000000,659469.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((659469 6839605,659469 6846225,666089 6846225,666089 6839605,659469 6839605)))",136,94_style1,659469.000000000000000,6839605.000000000931323,666089.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((666089 6846225,666089 6852845,672709 6852845,672709 6846225,666089 6846225)))",158,94_style1,666089.000000000000000,6846225.000000000000000,672709.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((666089 6852845,666089 6859465,672709 6859465,672709 6852845,666089 6852845)))",159,94_style1,666089.000000000000000,6852845.000000000000000,672709.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((666089 6859465,666089 6866085,672709 6866085,672709 6859465,666089 6859465)))",160,94_style1,666089.000000000000000,6859465.000000000000000,672709.000000000000000,6866085.000000000000000
